"inspectiondate","count"
2018-01-01,4
2018-01-02,16
2018-01-03,86
2018-01-04,21
2018-01-05,40
2018-01-06,44
2018-01-07,23
2018-01-08,26
2018-01-09,70
2018-01-10,57
2018-01-11,62
2018-01-12,56
2018-01-13,24
2018-01-14,10
2018-01-16,24
2018-01-17,74
2018-01-18,67
2018-01-19,45
2018-01-20,26
2018-01-21,7
2018-01-22,16
2018-01-23,78
2018-01-24,31
2018-01-25,35
2018-01-26,35
2018-01-27,37
2018-01-28,21
2018-01-29,40
2018-01-30,63
2018-01-31,43
2018-02-01,51
2018-02-02,59
2018-02-03,9
2018-02-04,5
2018-02-05,42
2018-02-06,43
2018-02-07,42
2018-02-08,57
2018-02-09,24
2018-02-10,33
2018-02-11,10
2018-02-12,44
2018-02-13,70
2018-02-14,68
2018-02-15,37
2018-02-16,38
2018-02-17,38
2018-02-18,11
2018-02-19,1
2018-02-20,23
2018-02-21,38
2018-02-22,111
2018-02-23,26
2018-02-24,45
2018-02-25,17
2018-02-26,41
2018-02-27,98
2018-02-28,56
2018-03-01,50
2018-03-02,75
2018-03-03,30
2018-03-04,10
2018-03-05,53
2018-03-06,63
2018-03-07,32
2018-03-08,61
2018-03-09,53
2018-03-10,36
2018-03-11,8
2018-03-12,53
2018-03-13,42
2018-03-14,50
2018-03-15,53
2018-03-16,46
2018-03-17,14
2018-03-18,19
2018-03-19,24
2018-03-20,42
2018-03-21,37
2018-03-22,36
2018-03-23,47
2018-03-24,20
2018-03-25,15
2018-03-26,34
2018-03-27,57
2018-03-28,30
2018-03-29,36
2018-03-30,55
2018-03-31,7
2018-04-01,16
2018-04-02,41
2018-04-03,40
2018-04-04,68
2018-04-05,39
2018-04-06,19
2018-04-07,13
2018-04-08,16
2018-04-09,36
2018-04-10,69
2018-04-11,31
2018-04-12,35
2018-04-13,50
2018-04-14,21
2018-04-15,22
2018-04-16,19
2018-04-17,28
2018-04-18,74
2018-04-19,52
2018-04-20,23
2018-04-21,11
2018-04-22,13
2018-04-23,60
2018-04-24,53
2018-04-25,64
2018-04-26,46
2018-04-27,50
2018-04-28,7
2018-04-29,18
2018-04-30,28
2018-05-01,52
2018-05-02,90
2018-05-03,37
2018-05-04,43
2018-05-05,6
2018-05-06,18
2018-05-07,31
2018-05-08,55
2018-05-09,34
2018-05-10,52
2018-05-11,40
2018-05-12,24
2018-05-13,10
2018-05-14,47
2018-05-15,45
2018-05-16,60
2018-05-17,43
2018-05-18,50
2018-05-19,22
2018-05-20,19
2018-05-21,55
2018-05-22,26
2018-05-23,43
2018-05-24,45
2018-05-25,40
2018-05-26,10
2018-05-27,14
2018-05-28,3
2018-05-29,28
2018-05-30,48
2018-05-31,38
2018-06-01,44
2018-06-02,27
2018-06-03,24
2018-06-04,46
2018-06-05,41
2018-06-06,49
2018-06-07,57
2018-06-08,39
2018-06-09,17
2018-06-10,21
2018-06-11,49
2018-06-12,51
2018-06-13,46
2018-06-14,35
2018-06-15,44
2018-06-16,23
2018-06-17,2
2018-06-18,37
2018-06-19,61
2018-06-20,45
2018-06-21,35
2018-06-22,22
2018-06-23,29
2018-06-24,23
2018-06-25,45
2018-06-26,24
2018-06-27,53
2018-06-28,44
2018-06-29,41
2018-06-30,21
2018-07-01,22
2018-07-02,50
2018-07-03,47
2018-07-04,9
2018-07-05,18
2018-07-06,47
2018-07-07,28
2018-07-08,16
2018-07-09,77
2018-07-10,50
2018-07-11,50
2018-07-12,18
2018-07-13,24
2018-07-14,12
2018-07-15,8
2018-07-16,42
2018-07-17,61
2018-07-18,56
2018-07-19,36
2018-07-20,31
2018-07-21,30
2018-07-22,12
2018-07-23,46
2018-07-24,58
2018-07-25,50
2018-07-26,38
2018-07-27,47
2018-07-28,17
2018-07-29,11
2018-07-30,54
2018-07-31,59
2018-08-01,57
2018-08-02,38
2018-08-03,41
2018-08-04,33
2018-08-05,16
2018-08-06,19
2018-08-07,29
2018-08-08,61
2018-08-09,73
2018-08-10,37
2018-08-11,35
2018-08-12,6
2018-08-13,16
2018-08-14,111
2018-08-15,70
2018-08-16,50
2018-08-17,78
2018-08-18,33
2018-08-19,8
2018-08-20,31
2018-08-21,112
2018-08-22,66
2018-08-23,57
2018-08-24,28
2018-08-25,42
2018-08-26,10
2018-08-27,14
2018-08-28,75
2018-08-29,86
2018-08-30,39
2018-08-31,79
2018-09-01,18
2018-09-02,16
2018-09-03,5
2018-09-04,41
2018-09-05,108
2018-09-06,68
2018-09-07,47
2018-09-08,54
2018-09-09,20
2018-09-10,46
2018-09-11,63
2018-09-12,96
2018-09-13,67
2018-09-14,31
2018-09-15,53
2018-09-16,10
2018-09-17,34
2018-09-18,53
2018-09-19,67
2018-09-20,57
2018-09-21,81
2018-09-22,70
2018-09-23,13
2018-09-24,57
2018-09-25,88
2018-09-26,62
2018-09-27,39
2018-09-28,64
2018-09-29,39
2018-09-30,21
2018-10-01,27
2018-10-02,72
2018-10-03,47
2018-10-04,51
2018-10-05,42
2018-10-06,22
2018-10-07,9
2018-10-08,17
2018-10-09,20
2018-10-10,99
2018-10-11,52
2018-10-12,55
2018-10-13,76
2018-10-14,2
2018-10-15,33
2018-10-16,60
2018-10-17,77
2018-10-18,34
2018-10-19,39
2018-10-20,14
2018-10-21,9
2018-10-22,39
2018-10-23,42
2018-10-24,65
2018-10-25,40
2018-10-26,96
2018-10-27,15
2018-10-28,18
2018-10-29,20
2018-10-30,74
2018-10-31,81
2018-11-01,75
2018-11-02,79
2018-11-03,38
2018-11-04,26
2018-11-05,28
2018-11-06,120
2018-11-07,49
2018-11-08,105
2018-11-09,82
2018-11-10,35
2018-11-11,13
2018-11-13,46
2018-11-14,108
2018-11-15,121
2018-11-16,34
2018-11-17,12
2018-11-18,16
2018-11-19,39
2018-11-20,100
2018-11-21,53
2018-11-22,34
2018-11-23,57
2018-11-24,21
2018-11-25,10
2018-11-26,52
2018-11-27,106
2018-11-28,126
2018-11-29,53
2018-11-30,41
2018-12-01,36
2018-12-02,14
2018-12-03,28
2018-12-04,137
2018-12-05,96
2018-12-06,47
2018-12-07,96
2018-12-08,15
2018-12-09,31
2018-12-10,44
2018-12-11,83
2018-12-12,81
2018-12-13,65
2018-12-14,52
2018-12-15,33
2018-12-16,6
2018-12-17,50
2018-12-18,66
2018-12-19,90
2018-12-20,43
2018-12-21,61
2018-12-22,21
2018-12-23,7
2018-12-24,26
2018-12-25,9
2018-12-26,80
2018-12-27,71
2018-12-28,82
2018-12-29,29
2018-12-30,17
2018-12-31,34
2019-01-01,3
2019-01-02,93
2019-01-03,54
2019-01-04,52
2019-01-05,30
2019-01-06,17
2019-01-07,62
2019-01-08,54
2019-01-09,80
2019-01-10,66
2019-01-11,26
2019-01-12,10
2019-01-13,35
2019-01-14,39
2019-01-15,51
2019-01-16,61
2019-01-17,41
2019-01-18,26
2019-01-19,18
2019-01-20,23
2019-01-21,9
2019-01-22,39
2019-01-23,66
2019-01-24,49
2019-01-25,61
2019-01-26,47
2019-01-27,29
2019-01-28,49
2019-01-29,38
2019-01-30,64
2019-01-31,90
2019-02-01,58
2019-02-02,38
2019-02-03,12
2019-02-04,45
