"","bbl","violationid","inspectiondate","CounDist","yearinspect"
"1",3057820037,12172932,2018-01-01,38,2018
"2",3057820037,12172933,2018-01-01,38,2018
"3",3057820037,12172934,2018-01-01,38,2018
"4",1021580028,12169135,2018-01-02,10,2018
"5",3067300072,12169466,2018-01-02,45,2018
"6",1021580028,12169547,2018-01-02,10,2018
"7",3067210065,12173616,2018-01-02,45,2018
"8",3067210065,12173617,2018-01-02,45,2018
"9",3067210065,12173618,2018-01-02,45,2018
"10",3067210065,12173619,2018-01-02,45,2018
"11",3067210065,12173620,2018-01-02,45,2018
"12",3067210065,12173621,2018-01-02,45,2018
"13",3067210065,12173622,2018-01-02,45,2018
"14",1021580028,12169545,2018-01-02,10,2018
"15",1020780011,12169137,2018-01-03,7,2018
"16",1018060007,12169139,2018-01-03,8,2018
"17",1019880016,12169138,2018-01-03,7,2018
"18",2048270080,12169140,2018-01-03,12,2018
"19",2033360011,12169142,2018-01-03,11,2018
"20",2033360011,12169143,2018-01-03,11,2018
"21",2033360011,12169144,2018-01-03,11,2018
"22",2033360011,12169145,2018-01-03,11,2018
"23",2033360011,12169146,2018-01-03,11,2018
"24",2033360011,12169147,2018-01-03,11,2018
"25",2033360011,12169148,2018-01-03,11,2018
"26",2033360011,12169149,2018-01-03,11,2018
"27",2033360011,12169150,2018-01-03,11,2018
"28",1021360140,12169151,2018-01-03,7,2018
"29",2044400007,12169156,2018-01-03,13,2018
"30",2042870055,12169158,2018-01-03,13,2018
"31",2042870055,12169159,2018-01-03,13,2018
"32",2042870055,12169160,2018-01-03,13,2018
"33",2057760605,12169161,2018-01-03,11,2018
"34",1016880044,12169165,2018-01-03,8,2018
"35",1021360140,12169152,2018-01-03,7,2018
"36",1021360140,12169153,2018-01-03,7,2018
"37",1021360140,12169155,2018-01-03,7,2018
"38",3021880020,12170920,2018-01-03,33,2018
"39",3012110072,12171392,2018-01-03,35,2018
"40",3012110072,12171393,2018-01-03,35,2018
"41",3012110072,12171394,2018-01-03,35,2018
"42",3051850059,12171474,2018-01-03,40,2018
"43",2024760071,12172490,2018-01-03,8,2018
"44",2024760071,12172492,2018-01-03,8,2018
"45",2024760071,12172493,2018-01-03,8,2018
"46",2030680093,12180992,2018-01-03,17,2018
"47",2033430180,12169162,2018-01-03,11,2018
"48",2033430180,12169163,2018-01-03,11,2018
"49",2033430180,12169164,2018-01-03,11,2018
"50",3050840097,12172443,2018-01-03,40,2018
"51",1021760128,12171040,2018-01-03,10,2018
"52",1021760128,12171041,2018-01-03,10,2018
"53",1021760128,12171042,2018-01-03,10,2018
"54",1021760128,12171043,2018-01-03,10,2018
"55",1021760128,12171346,2018-01-03,10,2018
"56",1021760128,12171347,2018-01-03,10,2018
"57",1021760128,12172522,2018-01-03,10,2018
"58",2032370097,12169141,2018-01-03,14,2018
"59",1021360140,12169154,2018-01-03,7,2018
"60",2032750046,12169157,2018-01-03,15,2018
"61",3011480005,12169166,2018-01-03,35,2018
"62",2042480026,12169167,2018-01-03,13,2018
"63",4051850014,12170924,2018-01-03,20,2018
"64",2026230049,12171033,2018-01-03,17,2018
"65",2026230049,12171034,2018-01-03,17,2018
"66",2026230049,12171035,2018-01-03,17,2018
"67",1021770163,12171344,2018-01-03,10,2018
"68",1021770163,12171345,2018-01-03,10,2018
"69",2026230049,12171359,2018-01-03,17,2018
"70",2026230049,12171360,2018-01-03,17,2018
"71",2026230049,12171361,2018-01-03,17,2018
"72",3010330042,12171395,2018-01-03,39,2018
"73",3064970044,12171468,2018-01-03,40,2018
"74",3064970044,12171469,2018-01-03,40,2018
"75",3064970044,12171470,2018-01-03,40,2018
"76",3050970120,12171472,2018-01-03,40,2018
"77",3034990016,12171615,2018-01-03,41,2018
"78",3034990016,12171616,2018-01-03,41,2018
"79",2024760071,12172305,2018-01-03,8,2018
"80",2024460030,12172494,2018-01-03,16,2018
"81",2024460030,12172495,2018-01-03,16,2018
"82",4033220040,12173085,2018-01-03,29,2018
"83",2047620071,12173623,2018-01-03,12,2018
"84",2047620071,12173624,2018-01-03,12,2018
"85",2037420005,12173725,2018-01-03,18,2018
"86",2037430001,12173727,2018-01-03,18,2018
"87",2047620071,12177858,2018-01-03,12,2018
"88",2047620071,12177859,2018-01-03,12,2018
"89",2047620071,12177860,2018-01-03,12,2018
"90",2047620071,12177861,2018-01-03,12,2018
"91",3050480083,12171613,2018-01-03,40,2018
"92",3050480083,12171614,2018-01-03,40,2018
"93",3064970044,12171471,2018-01-03,40,2018
"94",3043040071,12171458,2018-01-03,42,2018
"95",3043040071,12171460,2018-01-03,42,2018
"96",3043040071,12171461,2018-01-03,42,2018
"97",3043040071,12171462,2018-01-03,42,2018
"98",2027990030,12171057,2018-01-04,15,2018
"99",2028630014,12171047,2018-01-04,14,2018
"100",2028630014,12171048,2018-01-04,14,2018
"101",2028630014,12171049,2018-01-04,14,2018
"102",2028630014,12171050,2018-01-04,14,2018
"103",5028710001,12171051,2018-01-04,49,2018
"104",3051860038,12171052,2018-01-04,40,2018
"105",3051860038,12171053,2018-01-04,40,2018
"106",3051860038,12171054,2018-01-04,40,2018
"107",3007180043,12171055,2018-01-04,38,2018
"108",3066060021,12173140,2018-01-04,44,2018
"109",3074040020,12173141,2018-01-04,48,2018
"110",3012670021,12173149,2018-01-04,35,2018
"111",3014430008,12171056,2018-01-04,37,2018
"112",3051010061,12172476,2018-01-04,40,2018
"113",3051010061,12172478,2018-01-04,40,2018
"114",3012667502,12184707,2018-01-04,35,2018
"115",3012667502,12184708,2018-01-04,35,2018
"116",3039500039,12180996,2018-01-05,37,2018
"117",3039500039,12180997,2018-01-05,37,2018
"118",2024330062,12172308,2018-01-05,16,2018
"119",2029550040,12172309,2018-01-05,17,2018
"120",2029550040,12172310,2018-01-05,17,2018
"121",2029550040,12172311,2018-01-05,17,2018
"122",1022150586,12172312,2018-01-05,10,2018
"123",1022150586,12172313,2018-01-05,10,2018
"124",1019080054,12172316,2018-01-05,9,2018
"125",3007850037,12172317,2018-01-05,38,2018
"126",3007850037,12172318,2018-01-05,38,2018
"127",3007850037,12172319,2018-01-05,38,2018
"128",3007850037,12172320,2018-01-05,38,2018
"129",3014020049,12172321,2018-01-05,35,2018
"130",3014020049,12172322,2018-01-05,35,2018
"131",3014020049,12172323,2018-01-05,35,2018
"132",2033020034,12172324,2018-01-05,15,2018
"133",2033020034,12172325,2018-01-05,15,2018
"134",2033020034,12172326,2018-01-05,15,2018
"135",2033020034,12172327,2018-01-05,15,2018
"136",3051200054,12173555,2018-01-05,40,2018
"137",3051200054,12173557,2018-01-05,40,2018
"138",3051200054,12173558,2018-01-05,40,2018
"139",3051200054,12173559,2018-01-05,40,2018
"140",2033440001,12173718,2018-01-05,11,2018
"141",2027940042,12173730,2018-01-05,15,2018
"142",3066650025,12186484,2018-01-05,44,2018
"143",2032960038,12172314,2018-01-05,15,2018
"144",2032960038,12172315,2018-01-05,15,2018
"145",1020960026,12172887,2018-01-05,7,2018
"146",2033180152,12173722,2018-01-05,14,2018
"147",2033180152,12173723,2018-01-05,14,2018
"148",2033180152,12173724,2018-01-05,14,2018
"149",3011490003,12174642,2018-01-06,35,2018
"150",1021080033,12173627,2018-01-06,7,2018
"151",1021080033,12173628,2018-01-06,7,2018
"152",2032160021,12173629,2018-01-06,14,2018
"153",2032160021,12173630,2018-01-06,14,2018
"154",3069790100,12173636,2018-01-06,47,2018
"155",3069790100,12173637,2018-01-06,47,2018
"156",3069790100,12173638,2018-01-06,47,2018
"157",3033110040,12173639,2018-01-06,37,2018
"158",3017950055,12173640,2018-01-06,36,2018
"159",2030260059,12173641,2018-01-06,15,2018
"160",2030260059,12173642,2018-01-06,15,2018
"161",1016437502,12173643,2018-01-06,8,2018
"162",1021797502,12173649,2018-01-06,10,2018
"163",1021797502,12173650,2018-01-06,10,2018
"164",1021797502,12173651,2018-01-06,10,2018
"165",1021797502,12173652,2018-01-06,10,2018
"166",1021797502,12173653,2018-01-06,10,2018
"167",1021797502,12173654,2018-01-06,10,2018
"168",4093040011,12174753,2018-01-06,29,2018
"169",4093040011,12174754,2018-01-06,29,2018
"170",2028100001,12178608,2018-01-06,15,2018
"171",2028100001,12178610,2018-01-06,15,2018
"172",2028100001,12178611,2018-01-06,15,2018
"173",2028100001,12178612,2018-01-06,15,2018
"174",2029320004,12174739,2018-01-06,16,2018
"175",2029320004,12174740,2018-01-06,16,2018
"176",2029320004,12174741,2018-01-06,16,2018
"177",1021080033,12173626,2018-01-06,7,2018
"178",3014840015,12173631,2018-01-06,41,2018
"179",3014840015,12173632,2018-01-06,41,2018
"180",3014840015,12173633,2018-01-06,41,2018
"181",3014840015,12173634,2018-01-06,41,2018
"182",3014840015,12173635,2018-01-06,41,2018
"183",3070580013,12173644,2018-01-06,47,2018
"184",3070580013,12173645,2018-01-06,47,2018
"185",3070580013,12173646,2018-01-06,47,2018
"186",3070580013,12173647,2018-01-06,47,2018
"187",3070580013,12173648,2018-01-06,47,2018
"188",3013820004,12174638,2018-01-06,35,2018
"189",1016810123,12186491,2018-01-06,8,2018
"190",4121020030,12191105,2018-01-06,28,2018
"191",4015560024,12175467,2018-01-07,25,2018
"192",2043210021,12177948,2018-01-07,13,2018
"193",3012270016,12177936,2018-01-07,36,2018
"194",1021640042,12180994,2018-01-07,10,2018
"195",1021640042,12180995,2018-01-07,10,2018
"196",3053400018,12181559,2018-01-07,40,2018
"197",3053400018,12181561,2018-01-07,40,2018
"198",2033240023,12185178,2018-01-07,11,2018
"199",2033240023,12185179,2018-01-07,11,2018
"200",2037780024,12185245,2018-01-07,18,2018
"201",2031250040,12185247,2018-01-07,15,2018
"202",2031250040,12185249,2018-01-07,15,2018
"203",2031250040,12185250,2018-01-07,15,2018
"204",2043200022,12177949,2018-01-07,13,2018
"205",3051010033,12177937,2018-01-07,40,2018
"206",2037840021,12186369,2018-01-07,18,2018
"207",3053740057,12181531,2018-01-08,39,2018
"208",3053740057,12181533,2018-01-08,39,2018
"209",3053740057,12181534,2018-01-08,39,2018
"210",3038060013,12181535,2018-01-08,42,2018
"211",3012820070,12182404,2018-01-08,35,2018
"212",3012820070,12182405,2018-01-08,35,2018
"213",3012820070,12182407,2018-01-08,35,2018
"214",3032090019,12194575,2018-01-08,34,2018
"215",2024760022,12185855,2018-01-08,8,2018
"216",2024760022,12185858,2018-01-08,8,2018
"217",2028460041,12181520,2018-01-08,14,2018
"218",2033260100,12181594,2018-01-08,11,2018
"219",2033260100,12181596,2018-01-08,11,2018
"220",3012820070,12182399,2018-01-08,35,2018
"221",3012820070,12182401,2018-01-08,35,2018
"222",3012820070,12182402,2018-01-08,35,2018
"223",3012820070,12182403,2018-01-08,35,2018
"224",3012820070,12182406,2018-01-08,35,2018
"225",3052120024,12185028,2018-01-08,45,2018
"226",2024520035,12185853,2018-01-08,16,2018
"227",3051230038,12181020,2018-01-09,40,2018
"228",3051230038,12181030,2018-01-09,40,2018
"229",3051230038,12181031,2018-01-09,40,2018
