,COUNTYFP,TRACTCE,GEOID,geometry,Estimated Pop. Under 5,Percent Under 5
0,081,014700,36081014700,"POLYGON ((-73.913701 40.76548, -73.912103 40.76473, -73.911305 40.764354, -73.910505 40.763979, -73.908908 40.763229, -73.90651 40.762109, -73.907794 40.760518, -73.909391 40.761264, -73.910192 40.761638, -73.911799 40.76239, -73.912599 40.762766, -73.913397 40.76314, -73.914992 40.763892, -73.913701 40.76548))",125,4.4
1,047,058400,36047058400,"POLYGON ((-73.961028 40.596161, -73.959777 40.596299, -73.95878 40.596407, -73.957853 40.596511, -73.956928 40.596612, -73.956556 40.594648, -73.956077 40.592101, -73.957003 40.592002, -73.96068 40.591598, -73.960845 40.593743, -73.961028 40.596161))",177,4.8
2,061,006900,36061006900,"MULTIPOLYGON (((-74.008634 40.732643, -74.007523 40.732852, -74.006407 40.733054, -74.006624 40.731669, -74.006857 40.730228, -74.006973 40.729495, -74.00709 40.728772, -74.009349 40.728988, -74.010544 40.7291, -74.011376 40.728233, -74.014886 40.728495, -74.014865 40.728669, -74.014357 40.728612, -74.014233 40.729525, -74.014072 40.730689, -74.011164 40.730444, -74.011094 40.731258, -74.011077 40.731449, -74.010997 40.732321, -74.010255 40.732398, -74.008634 40.732643)), ((-74.02020980833048 40.73215230365271, -74.0202098083246 40.73215230367688, -74.020062 40.732759, -74.02020980833048 40.73215230365271)))",144,5.9
3,047,073000,36047073000,"POLYGON ((-73.933449 40.625704, -73.931494 40.625594, -73.931743 40.62793, -73.927865 40.628167, -73.925927 40.628288, -73.924298 40.628386, -73.924918 40.627984, -73.925826 40.627392, -73.926709 40.626821, -73.928316 40.625785, -73.931307 40.62385, -73.93125 40.623321, -73.932195 40.623269, -73.9331 40.622694, -73.933122 40.622822, -73.933449 40.625704))",130,4.9
4,047,100400,36047100400,"POLYGON ((-73.907351 40.630831, -73.904149 40.632952, -73.90233 40.63132, -73.900513 40.629688, -73.902388 40.628599, -73.90652 40.630458, -73.907351 40.630831))",199,6.6
5,047,055700,36047055700,"POLYGON ((-73.962645 40.722747, -73.962014 40.723369, -73.961543 40.723876, -73.961539 40.724401, -73.961538 40.724584, -73.961537 40.724695, -73.96155 40.724722, -73.96160338941428 40.72483068559336, -73.961611 40.724951, -73.95892 40.724351, -73.957717 40.724298, -73.956273 40.72339, -73.954776 40.72246, -73.955443 40.721946, -73.958416 40.719189, -73.959009 40.718636, -73.96355 40.721571, -73.962787 40.722562, -73.962645 40.722747))",123,6.7
6,005,022101,36005022101,"POLYGON ((-73.920125 40.837588, -73.919696 40.837872, -73.918592 40.838982, -73.917683 40.840225, -73.916783 40.839881, -73.91594 40.839552, -73.916429 40.838948, -73.916917 40.838336, -73.917383 40.837745, -73.917848 40.837156, -73.918412 40.83644, -73.920479 40.83714, -73.920125 40.837588))",265,6.6
7,081,047000,36081047000,"POLYGON ((-73.780589 40.713428, -73.778001 40.714051, -73.777123 40.714262, -73.775374 40.711678, -73.7745 40.711946, -73.773139 40.709923, -73.774892 40.709419, -73.776055 40.709105, -73.778676 40.708779, -73.779048 40.70871, -73.779855 40.711178, -73.780589 40.713428))",268,7.4
8,047,050402,36047050402,"POLYGON ((-73.974959 40.647796, -73.973504 40.647595, -73.971397 40.648258, -73.971211 40.64762, -73.970841 40.646378, -73.971744 40.646001, -73.972086 40.645863, -73.973101 40.645451, -73.974657 40.644806, -73.974827 40.645664, -73.975176 40.647818, -73.974959 40.647796))",85,4.8
9,047,028501,36047028501,"POLYGON ((-73.944388 40.700425, -73.941931 40.700725, -73.941149 40.700281, -73.938902 40.699037, -73.938568 40.698848, -73.94115 40.698541, -73.943949 40.698222, -73.944096 40.698973, -73.944388 40.700425))",0,0.0
