year_month,count
Jan 2018,1181
Feb 2018,1137
Mar 2018,1188
Apr 2018,1062
May 2018,1128
Jun 2018,1095
Jul 2018,1124
Aug 2018,1450
Sep 2018,1488
Oct 2018,1347
Nov 2018,1679
Dec 2018,1550
Jan 2019,1382
Feb 2019,1404
Mar 2019,1403
Apr 2019,1480
May 2019,1509
Jun 2019,1339
Jul 2019,1531
Aug 2019,1491
Sep 2019,1479
Oct 2019,1530
Nov 2019,1288
Dec 2019,1635
Jan 2020,1748
Feb 2020,1923
Mar 2020,1085
Apr 2020,353
May 2020,247
Jun 2020,914
Jul 2020,1109
Aug 2020,1614
Sep 2020,1592
Oct 2020,1495
Nov 2020,1731
Dec 2020,2178
Jan 2021,1954
Feb 2021,1522
Mar 2021,2545
Apr 2021,1889
May 2021,1796
Jun 2021,1815
Jul 2021,2230
Aug 2021,1815
Sep 2021,1999
Oct 2021,1994
Nov 2021,1814
Dec 2021,2725
Jan 2022,2074
Feb 2022,2480
Mar 2022,2763
Apr 2022,2647
May 2022,2781
Jun 2022,2664
Jul 2022,2418
Aug 2022,2861
Sep 2022,2414
Oct 2022,2821
Nov 2022,2072
Dec 2022,2427
Jan 2023,2683
Feb 2023,2579
Mar 2023,2838
